ttm,logm,put,call,name,iv,w,quote_date,expiry,m
0.0833,-0.9163,6.701226169565795e-9,NA,bates,0.6368447459433719,0.033784083495291974,2019-01-01,2019-01-31,0.3999962927668416
0.0833,-0.5108,5.515829603594167e-7,NA,bates,0.4367423497886504,0.015888965212239356,2019-01-01,2019-01-31,0.6000153744565693
0.0833,-0.2231,1.0837007255296534e-4,NA,bates,0.2961794087315745,0.0073072627716435365,2019-01-01,2019-01-31,0.8000348418100656
0.0833,-0.1054,9.089358103008147e-4,NA,bates,0.20804717573305134,0.0036055261566305787,2019-01-01,2019-01-31,0.8999644647935904
0.0833,-0.0513,0.0028107986007662542,NA,bates,0.15646187601246686,0.002039210543156868,2019-01-01,2019-01-31,0.9499936296895315
0.0833,-0.0253,0.00505197497115278,NA,bates,0.12470206125783379,0.0012953653200266457,2019-01-01,2019-01-31,0.9750173629392817
0.0833,0,0.009754337073485296,NA,bates,0.08471806174821796,5.978565938650267e-4,2019-01-01,2019-01-31,1
0.0833,0.0247,0.026146000834555396,NA,bates,0.07077375146722237,4.1724336059878854e-4,2019-01-01,2019-01-31,1.0250075721228384
0.0833,0.0488,0.05032348727468723,NA,bates,0.09011128384668507,6.763996215922704e-4,2019-01-01,2019-01-31,1.050010327672887
0.0833,0.0953,0.10010804847043915,NA,bates,0.13844607656221597,0.0015966374324187314,2019-01-01,2019-01-31,1.0999888022722382
0.0833,0.1823,0.2000110715754951,NA,bates,0.2176200819206514,0.00394496305459408,2019-01-01,2019-01-31,1.1999741321260697
0.0833,0.2624,0.3000567085090726,NA,bates,0.2731373109667486,0.006214512420490788,2019-01-01,2019-01-31,1.30004645702234
0.0833,0.4055,0.5000529363570094,NA,bates,0.344061338232071,0.00986090443202143,2019-01-01,2019-01-31,1.500052338750847
0.0833,0.5596,0.7499723908309499,NA,bates,0.40097801298465363,0.013393254462530185,2019-01-01,2019-01-31,1.7499723713311106
0.0833,0.6931,0.9999056479735714,NA,bates,0.473178033937645,0.018650657735031224,2019-01-01,2019-01-31,1.9999056411060796
0.0833,0.9163,1.5000231769058114,NA,bates,0.6159852567097459,0.03160717177909817,2019-01-01,2019-01-31,2.5000231704219855
0.0833,1.0986,1.999963140716899,NA,bates,0.7318519873142979,0.04461609070027941,2019-01-01,2019-01-31,2.9999631342221873
0.1667,-1.204,7.742266864295323e-9,NA,bates,0.5919172719476254,0.05840602167354752,2019-01-01,2019-03-03,0.2999918414087205
