"","ttm","logm","quote_date","expiry","m","name","w","call","put","iv"
"44",0.01,0.5596,2019-01-01,2019-01-05,1.74997237133111,"Prior",0.00538296904414892,NA,NA,0.748816360731285
"45",0.01,0.5596,2019-01-01,2019-01-05,1.74997237133111,"Prior x NN Model",0.0126705458387733,NA,NA,1.14884660632837
"46",0.01,0.6931,2019-01-01,2019-01-05,1.99990564110608,"Data",0.0186341505732079,NA,NA,1.39321834303738
"47",0.01,0.6931,2019-01-01,2019-01-05,1.99990564110608,"Prior",0.00665950076654553,NA,NA,0.832885344159182
"48",0.01,0.6931,2019-01-01,2019-01-05,1.99990564110608,"Prior x NN Model",0.0186399798840284,NA,NA,1.39343624585159
"49",0.01,0.9163,2019-01-01,2019-01-05,2.50002317042199,"Data",0.0316668449889279,NA,NA,1.8162130068763
"50",0.01,0.9163,2019-01-01,2019-01-05,2.50002317042199,"Prior",0.00879376009106636,NA,NA,0.9570876010861
"51",0.01,0.9163,2019-01-01,2019-01-05,2.50002317042199,"Prior x NN Model",0.0312117543071508,NA,NA,1.8031151951539
"52",0.01,1.0986,2019-01-01,2019-01-05,2.99996313422219,"Data",0.0446771044442125,NA,NA,2.15728186528143
"53",0.01,1.0986,2019-01-01,2019-01-05,2.99996313422219,"Prior",0.0105369389057159,NA,NA,1.04766301961974
"54",0.01,1.0986,2019-01-01,2019-01-05,2.99996313422219,"Prior x NN Model",0.0428128242492676,NA,NA,2.11179288582759
"55",0.02,-1.204,2019-01-01,2019-01-08,0.29999184140872,"Data",0.0573665684118043,NA,NA,1.72853756244447
"56",0.02,-1.204,2019-01-01,2019-01-08,0.29999184140872,"Prior",0.026695167645812,NA,NA,1.17914092240327
"57",0.02,-1.204,2019-01-01,2019-01-08,0.29999184140872,"Prior x NN Model",0.0572854913771152,NA,NA,1.72731564647521
"58",0.02,-0.9163,2019-01-01,2019-01-08,0.399996292766842,"Data",0.033520212057735,NA,NA,1.3213040444981
"59",0.02,-0.9163,2019-01-01,2019-01-08,0.399996292766842,"Prior",0.0203440058976412,NA,NA,1.029360792192
"60",0.02,-0.9163,2019-01-01,2019-01-08,0.399996292766842,"Prior x NN Model",0.0348160825669765,NA,NA,1.34660225519516
"61",0.02,-0.5108,2019-01-01,2019-01-08,0.600015374456569,"Data",0.0131793514798024,NA,NA,0.828507426786091
"62",0.02,-0.5108,2019-01-01,2019-01-08,0.600015374456569,"Prior",0.0113924415782094,NA,NA,0.77029626261485
"63",0.02,-0.5108,2019-01-01,2019-01-08,0.600015374456569,"Prior x NN Model",0.0133921811357141,NA,NA,0.835170302484334
"64",0.02,-0.2231,2019-01-01,2019-01-08,0.800034841810066,"Data",0.00511704138723685,NA,NA,0.516248556658437
"65",0.02,-0.2231,2019-01-01,2019-01-08,0.800034841810066,"Prior",0.00504174595698714,NA,NA,0.51243627434028
"66",0.02,-0.2231,2019-01-01,2019-01-08,0.800034841810066,"Prior x NN Model",0.00516489380970597,NA,NA,0.518656809385731
"67",0.02,-0.1054,2019-01-01,2019-01-08,0.89996446479359,"Data",0.00170200953416742,NA,NA,0.297735335330815
"68",0.02,-0.1054,2019-01-01,2019-01-08,0.89996446479359,"Prior",0.00244443700648844,NA,NA,0.356811473219785
"69",0.02,-0.1054,2019-01-01,2019-01-08,0.89996446479359,"Prior x NN Model",0.00173260562587529,NA,NA,0.300399527875247
"70",0.02,-0.0513,2019-01-01,2019-01-08,0.949993629689531,"Data",0.000638984034548628,NA,NA,0.182429214946714
"71",0.02,-0.0513,2019-01-01,2019-01-08,0.949993629689531,"Prior",0.00125211046542972,NA,NA,0.25537048917432
"72",0.02,-0.0513,2019-01-01,2019-01-08,0.949993629689531,"Prior x NN Model",0.00066477688960731,NA,NA,0.186074706324406
"73",0.02,-0.0253,2019-01-01,2019-01-08,0.975017362939282,"Data",0.000374798126010295,NA,NA,0.139716626532789
"74",0.02,-0.0253,2019-01-01,2019-01-08,0.975017362939282,"Prior",0.000681868987157941,NA,NA,0.188451611157372
"75",0.02,-0.0253,2019-01-01,2019-01-08,0.975017362939282,"Prior x NN Model",0.000424631551140919,NA,NA,0.148715253494465
"76",0.02,0,2019-01-01,2019-01-08,1,"Data",0.000176389418129381,NA,NA,0.0958485725553869
"77",0.02,0,2019-01-01,2019-01-08,1,"Prior",0.000176007801201195,NA,NA,0.0957448326502735
"78",0.02,0,2019-01-01,2019-01-08,1,"Prior x NN Model",0.000177951966179535,NA,NA,0.0962721744423111
"79",0.02,0.0247,2019-01-01,2019-01-08,1.02500757212284,"Data",0.000138599741809295,NA,NA,0.0849631482030146
"80",0.02,0.0247,2019-01-01,2019-01-08,1.02500757212284,"Prior",0.00035339331952855,NA,NA,0.135668353195499
"81",0.02,0.0247,2019-01-01,2019-01-08,1.02500757212284,"Prior x NN Model",0.000179144364665262,NA,NA,0.0965941802576588
"82",0.02,0.0488,2019-01-01,2019-01-08,1.05001032767289,"Data",0.000388870051475857,NA,NA,0.142315313702945
"83",0.02,0.0488,2019-01-01,2019-01-08,1.05001032767289,"Prior",0.000626152788754553,NA,NA,0.180588273191533
"84",0.02,0.0488,2019-01-01,2019-01-08,1.05001032767289,"Prior x NN Model",0.000387599895475432,NA,NA,0.142082703226016
"85",0.02,0.0953,2019-01-01,2019-01-08,1.09998880227224,"Data",0.0011478348856921,NA,NA,0.244505760592936
"86",0.02,0.0953,2019-01-01,2019-01-08,1.09998880227224,"Prior",0.00115896936040372,NA,NA,0.245688802188921
"87",0.02,0.0953,2019-01-01,2019-01-08,1.09998880227224,"Prior x NN Model",0.00115276162978262,NA,NA,0.245029933309881
"88",0.02,0.1823,2019-01-01,2019-01-08,1.19997413212607,"Data",0.00307203929602645,NA,NA,0.400002558326874
"89",0.02,0.1823,2019-01-01,2019-01-08,1.19997413212607,"Prior",0.00215885881334543,NA,NA,0.33532158176156
"90",0.02,0.1823,2019-01-01,2019-01-08,1.19997413212607,"Prior x NN Model",0.00309006753377616,NA,NA,0.401174547278582
"91",0.02,0.2624,2019-01-01,2019-01-08,1.30004645702234,"Data",0.00505615101401924,NA,NA,0.513167807492671
"92",0.02,0.2624,2019-01-01,2019-01-08,1.30004645702234,"Prior",0.0030800758395344,NA,NA,0.400525425712796
"93",0.02,0.2624,2019-01-01,2019-01-08,1.30004645702234,"Prior x NN Model",0.00503433682024479,NA,NA,0.512059608562404
"94",0.02,0.4055,2019-01-01,2019-01-08,1.50005233875085,"Data",0.00848027037511387,NA,NA,0.664590662516295
"95",0.02,0.4055,2019-01-01,2019-01-08,1.50005233875085,"Prior",0.00472619477659464,NA,NA,0.496141086736059
"96",0.02,0.4055,2019-01-01,2019-01-08,1.50005233875085,"Prior x NN Model",0.00838563125580549,NA,NA,0.66087186950765
"97",0.02,0.5596,2019-01-01,2019-01-08,1.74997237133111,"Data",0.0126391331865863,NA,NA,0.811349608246267
"98",0.02,0.5596,2019-01-01,2019-01-08,1.74997237133111,"Prior",0.00649901200085878,NA,NA,0.581799113421516
